0.5,0.35,5,1,0.2,0.25,0.5,0.05,0.25,0.9,0.95,0.9,0.55,0.45,0.75,1.0,0.5,0.55,0.9,0.55,0.25,0.4,0.35, 0.632368
0.05,0.9,10,1,0.1,1.0,0.25,0.65,0.45,0.3,0.95,0.7,0.75,0.6,0.1,0.6,0.55,0.05,0.25,0.0,0.6,0.65,0.65, 0.661564
0.45,0.6,0,1,0.35,0.3,0.65,0.2,0.95,0.8,0.5,0.9,0.25,0.5,0.95,0.35,0.55,0.2,0.5,0.3,0.05,0.95,0.75, 0.632368
0.85,0.65,1,1,0.55,0.0,0.9,0.5,0.85,0.8,0.05,0.7,0.05,0.7,0.2,0.8,0.95,0.65,0.15,0.75,0.75,0.5,0.15, 0.661564
0.8,0.7,2,1,0.8,0.4,0.15,0.8,0.55,0.95,0.25,0.8,0.35,0.25,0.9,0.5,0.7,0.45,0.25,0.9,0.75,0.9,0.7, 0.661564
0.6,1.0,4,1,0.75,0.15,0.0,0.6,0.1,0.0,0.2,0.6,0.1,0.5,0.15,0.4,0.1,0.95,0.85,0.6,0.2,0.9,0.7, 0.661564
0.9,0.75,10,1,0.05,0.75,0.3,0.4,0.95,0.6,0.55,0.4,0.65,0.95,0.8,1.0,0.25,0.1,0.2,0.3,0.55,0.15,0.3, 0.632368
0.95,0.3,5,1,0.15,0.9,0.7,0.75,0.35,0.25,0.35,0.45,0.6,0.4,0.15,0.15,0.75,0.8,0.6,0.85,0.7,0.25,0.15, 0.632368
0.2,0.05,2,1,0.6,0.1,0.85,0.35,0.25,0.8,0.0,0.3,0.9,0.45,0.4,0.25,0.35,0.15,0.55,0.6,0.85,0.55,0.2, 0.661564
0.5,0.25,6,1,0.1,0.6,0.15,0.9,0.5,0.35,0.9,0.55,0.8,1.0,0.7,0.8,0.15,0.2,1.0,0.9,0.65,0.75,0.25, 0.772468
1.0,0.15,7,1,0.8,0.55,0.25,0.6,0.9,0.85,0.25,0.6,0.1,0.15,0.65,0.7,0.2,0.1,0.8,0.85,0.05,0.7,0.85, 0.661564
0.85,1.0,8,1,0.25,0.8,0.15,0.7,0.65,0.85,0.3,0.75,0.85,0.75,0.05,0.35,0.85,0.9,0.7,0.85,0.2,0.85,0.8, 0.661564
