0.6,1.0,4,1,0.75,0.15,0.0,0.6,0.1,0.0,0.2,0.6,0.1,0.5,0.15,0.4,0.1,0.95,0.85,0.6,0.2,0.9,0.7, 0.632368
0.45,0.6,0,1,0.35,0.3,0.65,0.2,0.95,0.8,0.5,0.9,0.25,0.5,0.95,0.35,0.55,0.2,0.5,0.3,0.05,0.95,0.75, 0.632368
0.45,0.6,0,1,0.35,0.3,0.65,0.2,0.95,0.8,0.5,0.9,0.25,0.5,0.95,0.35,0.55,0.2,0.5,0.3,0.05,0.95,0.75, 0.632368
0.45,0.6,0,1,0.35,0.3,0.65,0.2,0.95,0.8,0.5,0.9,0.25,0.5,0.13,0.35,0.55,0.2,0.5,0.3,0.05,0.95,0.75, 0.661564
0.9,0.75,10,1,0.05,0.77,0.3,0.4,0.95,0.6,0.5,0.9,0.65,0.95,0.8,1.0,0.25,0.1,0.2,0.3,0.55,0.15,0.3, 0.632368
0.45,0.6,0,1,0.35,0.3,0.65,0.27,0.95,0.8,0.95,0.69,0.25,0.5,0.95,0.35,0.55,0.2,0.5,0.3,0.05,0.95,0.75, 0.661564
0.75,0.35,8,1,0.35,0.3,0.65,0.45,0.75,0.3,0.75,0.25,0.25,0.5,0.95,0.35,0.55,0.5,0.4,0.15,0.1,0.65,0.55, 0.632368
0.45,0.6,0,1,0.65,0.2,0.6,0.2,0.95,0.8,0.5,0.61,0.25,0.65,0.8,0.95,0.7,0.2,0.5,0.3,0.05,0.95,0.75, 0.661564
0.6,0.6,0,1,0.35,0.3,0.65,0.2,0.95,0.8,0.5,0.9,0.25,0.72,0.95,0.35,0.55,0.2,0.5,0.3,0.05,0.95,0.75, 0.661564
0.45,0.7,0,1,0.35,0.4,0.65,0.2,0.95,0.95,0.5,0.8,0.25,0.5,0.95,0.35,0.55,0.2,0.5,0.3,0.05,0.95,0.75, 0.661564
0.85,0.8,6,1,0.25,0.05,0.5,0.5,0.8,0.05,0.15,0.8,0.15,0.15,0.55,0.6,0.1,0.4,0.15,0.25,0.35,0.35,0.4, 0.632368
0.6,1.0,4,1,0.75,0.15,0.0,0.6,0.1,0.0,0.2,0.6,0.1,0.5,0.15,0.4,0.1,0.95,0.85,0.6,0.2,0.9,0.7, 0.661564
